SampleID	Diet_Classification	MouseStrain
SRS1743132	HFD	C57BL6
SRS1743133	HFD	C57BL6
SRS1743134	HFD	C57BL6
SRS1743135	HFD	C57BL6
SRS1743136	HFD	C57BL6
SRS1743137	HFD	C57BL6
ERS794836	LFD	129S
ERS794838	LFD	129S
ERS794840	LFD	129S
ERS794842	LFD	129S
ERS794844	LFD	129S
ERS794846	LFD	129S
ERS794847	LFD	129S
ERS794863	HFD	129S
ERS794865	HFD	129S
ERS794867	HFD	129S
ERS794869	HFD	129S
ERS794871	HFD	129S
ERS794873	HFD	129S
ERS794874	HFD	129S
ERS794894	LFD	129S
ERS794895	LFD	129S
ERS794896	LFD	129S
ERS794897	LFD	129S
ERS794898	LFD	129S
ERS794899	LFD	129S
ERS794900	LFD	129S
ERS794915	HFD	129S
ERS794916	HFD	129S
ERS794917	HFD	129S
ERS794918	HFD	129S
ERS794919	HFD	129S
ERS794920	HFD	129S
ERS794921	HFD	129S
ERS794943	LFD	129S
ERS794945	LFD	129S
ERS794947	LFD	129S
ERS794949	LFD	129S
ERS794951	LFD	129S
ERS794953	LFD	129S
ERS794969	HFD	129S
ERS794971	HFD	129S
ERS794973	HFD	129S
ERS794975	HFD	129S
ERS794977	HFD	129S
ERS794979	HFD	129S
ERS794980	HFD	129S
ERS795000	LFD	129S
ERS795001	LFD	129S
ERS795002	LFD	129S
ERS795003	LFD	129S
ERS795004	LFD	129S
ERS795005	LFD	129S
ERS795006	LFD	129S
ERS795022	HFD	129S
ERS795023	HFD	129S
ERS795024	HFD	129S
ERS795025	HFD	129S
ERS795026	HFD	129S
ERS795027	HFD	129S
ERS795028	HFD	129S
ERS795048	LFD	C57BL6
ERS795049	LFD	C57BL6
ERS795050	LFD	C57BL6
ERS795051	LFD	C57BL6
ERS795052	LFD	C57BL6
ERS795053	LFD	C57BL6
ERS795054	LFD	C57BL6
ERS795068	HFD	C57BL6
ERS795069	HFD	C57BL6
ERS795070	HFD	C57BL6
ERS795071	HFD	C57BL6
ERS795072	HFD	C57BL6
ERS795073	HFD	C57BL6
ERS795093	LFD	C57BL6
ERS795094	LFD	C57BL6
ERS795095	LFD	C57BL6
ERS795096	LFD	C57BL6
ERS795097	LFD	C57BL6
ERS795098	LFD	C57BL6
ERS795099	LFD	C57BL6
ERS795114	HFD	C57BL6
ERS795115	HFD	C57BL6
ERS795116	HFD	C57BL6
ERS795117	HFD	C57BL6
ERS795118	HFD	C57BL6
ERS795119	HFD	C57BL6
ERS795120	HFD	C57BL6
ERS795129	HFD	C57BL6
ERS795130	HFD	C57BL6
ERS795131	HFD	C57BL6
ERS795132	HFD	C57BL6
ERS795133	HFD	C57BL6
ERS795134	HFD	C57BL6
ERS795135	HFD	C57BL6
ERS795136	HFD	C57BL6
ERS795137	HFD	C57BL6
ERS795138	HFD	C57BL6
ERS795139	HFD	C57BL6
ERS795140	HFD	C57BL6
ERS795141	HFD	C57BL6
ERS795142	HFD	C57BL6
ERS795143	HFD	C57BL6
ERS795144	HFD	C57BL6
ERS795145	HFD	C57BL6
ERS795146	HFD	C57BL6
ERS795147	HFD	C57BL6
ERS795148	HFD	C57BL6
ERS795149	HFD	C57BL6
ERS795150	HFD	C57BL6
ERS795151	HFD	C57BL6
ERS795152	HFD	C57BL6
ERS795153	HFD	C57BL6
ERS795154	HFD	C57BL6
ERS795155	HFD	C57BL6
SRS1366780	LFD	C57BL6
SRS1366781	LFD	C57BL6
SRS1366782	LFD	C57BL6
SRS1366783	LFD	C57BL6
SRS1366784	LFD	C57BL6
SRS1366785	LFD	C57BL6
SRS1366786	LFD	C57BL6
SRS1366787	LFD	C57BL6
SRS1366788	LFD	C57BL6
SRS1366789	LFD	C57BL6
SRS1366790	LFD	C57BL6
SRS1366791	LFD	C57BL6
SRS1366792	LFD	C57BL6
SRS1366793	LFD	C57BL6
SRS1366794	LFD	C57BL6
SRS1366795	LFD	C57BL6
SRS1366796	LFD	C57BL6
SRS1366797	LFD	C57BL6
SRS1366798	LFD	C57BL6
SRS1366799	LFD	C57BL6
SRS1366800	LFD	C57BL6
SRS1366801	LFD	C57BL6
SRS1366802	LFD	C57BL6
SRS1366803	LFD	C57BL6
SRS1366804	LFD	C57BL6
SRS1366805	LFD	C57BL6
SRS1366806	LFD	C57BL6
SRS1366807	LFD	C57BL6
SRS1366808	LFD	C57BL6
SRS1366809	LFD	C57BL6
SRS1366810	LFD	C57BL6
SRS1366811	LFD	C57BL6
SRS1366812	LFD	C57BL6
SRS1366813	LFD	C57BL6
SRS1366814	LFD	C57BL6
