SampleID	Country
10317.000013874	AGP
10317.000013886	AGP
10317.000013879	AGP
10317.000013882	AGP
10317.000069031	AGP
10317.000069103	AGP
10317.000068654	AGP
10317.000156123	AGP
10317.000155295	AGP
10317.000013871	AGP
10317.000013880	AGP
10317.000013881	AGP
10317.000013865	AGP
10317.000013869	AGP
10317.000013872	AGP
10317.000013873	AGP
10317.000013875	AGP
10317.000013884	AGP
10317.000013887	AGP
10317.000013870	AGP
10317.000090153	AGP
11492.A19445.TW93	Uganda
11492.A19446.TW97	Uganda
11492.A19447.TW125	Uganda
11492.A19448.TW157	Uganda
11492.A19449.TW53	Uganda
11492.A19452.TW156	Uganda
11492.A19453.TW135	Uganda
11492.A19454.TW141	Uganda
11492.A19456.TW19	Uganda
11492.A19458.TW130	Uganda
11492.A19459.TW150	Uganda
11492.A19460.TW146	Uganda
11492.A19464.TW38	Uganda
11492.A19465.TW25	Uganda
11492.A19466.TW123	Uganda
11492.A19468.TW55	Uganda
11492.A19469.TW143	Uganda
11492.A19470.TW175	Uganda
11492.A19471.TW139	Uganda
11492.A19472.TW161	Uganda
11492.A19473.TW159	Uganda
11492.A19474.TW148	Uganda
11492.A19476.TW23	Uganda
11492.A19477.TW21	Uganda
11492.A19478.TW100	Uganda
11492.A19479.TW57	Uganda
11492.A19480.TW85	Uganda
11492.A19481.TW142	Uganda
11492.A19482.TW128	Uganda
11492.A19485.TW91	Uganda
11492.A19486.TW92	Uganda
11492.A19487.TW97	Uganda
11492.A19488.TW98	Uganda
11492.A19490.TW20	Uganda
11492.A19491.TW22	Uganda
11492.A19492.TW24	Uganda
11492.A19493.TW52	Uganda
11492.A19494.TW58	Uganda
11492.A19495.TW174	Uganda
11492.A19496.TW151	Uganda
11492.A19497.TW126	Uganda
11492.A19498.TW60	Uganda
11492.A19499.TW137	Uganda
11492.A19500.TW56	Uganda
11492.A19501.TW147	Uganda
11492.A19502.TW144	Uganda
11492.A19503.TW89	Uganda
11492.A19504.TW132	Uganda
11492.A19505.TW165	Uganda
11492.A19506.TW154	Uganda
11492.A19507.TW127	Uganda
11492.A19511.TW95	Uganda
11492.A19512.TW88	Uganda
11492.A19513.TW168	Uganda
11492.A19514.TW162	Uganda
11492.A19515.TW172	Uganda
11492.A19516.TW131	Uganda
11492.A19517.TW160	Uganda
11492.A19518.TW129	Uganda
11492.A19519.TW134	Uganda
11492.A19520.TW24	Uganda
11492.A19521.TW163	Uganda
11492.A19523.TW140	Uganda
11492.A19524.TW153	Uganda
11492.A19525.TW178	Uganda
11492.A19526.TW87	Uganda
11492.A19527.TW136	Uganda
11492.A19528.TW26	Uganda
11492.A19529.TW152	Uganda
11492.A19530.TW169	Uganda
11492.A19534.TW133	Uganda
11492.A19535.TW167	Uganda
11492.A19536.TW90	Uganda
11492.A19537.TW96	Uganda
11492.A19538.TW86	Uganda
11492.A19539.TW171	Uganda
11492.A19540.TW166	Uganda
11492.A19541.TW173	Uganda
11492.A19542.TW155	Uganda
11492.A19543.TW149	Uganda
11492.A19544.TW164	Uganda
11492.A19545.TW59	Uganda
11492.A19546.TW145	Uganda
11492.A19547.TW54	Uganda
11492.A19548.TW158	Uganda
11492.A19549.TW176	Uganda
11492.A19550.TW170	Uganda
11492.A19551.TW177	Uganda
11492.A19451.KG59	Uganda
11492.A19455.KG55	Uganda
11492.A19457.KG57	Uganda
11492.A19463.KG58	Uganda
11492.A19467.KG62	Uganda
11492.A19475.KG61	Uganda
11492.A19508.KG56	Uganda
11492.A19522.KG60	Uganda
11492.A19533.KG54	Uganda
10052.MG.O10	Venezuela
10052.MG.O12	Venezuela
10052.MG.O13	Venezuela
10052.MG.O14	Venezuela
10052.MG.O16	Venezuela
10052.MG.O17	Venezuela
10052.MG.O22	Venezuela
10052.MG.O25	Venezuela
10052.MG.O4	Venezuela
10052.MG.O49	Venezuela
10052.MG.O5	Venezuela
10052.MG.O50	Venezuela
10052.MG.O51	Venezuela
10052.MG.O6	Venezuela
10052.MG.O7	Venezuela
10052.MG.O8	Venezuela
EOSC.148	Ethiopia
EOSC.149	Ethiopia
EOSC.150	Ethiopia
EOSC.151	Ethiopia
EOSC.152	Ethiopia
EOSC.153	Ethiopia
EOSC.154	Ethiopia
EOSC.155	Ethiopia
EOSC.158	Ethiopia
EOSC.160	Ethiopia
EOSC.161	Ethiopia
EOSC.162	Ethiopia
EOSC.163	Ethiopia
EOSC.164	Ethiopia
EOSC.165	Ethiopia
EOSC.166	Ethiopia
EOSC.167	Ethiopia
EOSC.168	Ethiopia
EOSC.169	Ethiopia
EOSC.170	Ethiopia
EOSC.171	Ethiopia
EOSC.175	Ethiopia
EOSC.176	Ethiopia
EOSC.177	Ethiopia
EOSC.179	Ethiopia
EOSC.180	Ethiopia
EOSC.182	Ethiopia
EOSC.183	Ethiopia
EOSC.184	Ethiopia
EOSC.185	Ethiopia
EOSC.187	Ethiopia
EOSC.188	Ethiopia
EOSC.189	Ethiopia
EOSC.190	Ethiopia
EOSC.191	Ethiopia
EOSC.192	Ethiopia
EOSC.194	Ethiopia
EOSC.195	Ethiopia
EOSC.197	Ethiopia
EOSC.198	Ethiopia
EOSC.199	Ethiopia
EOSC.202	Ethiopia
EOSC.204	Ethiopia
EOSC.206	Ethiopia
EOSC.207	Ethiopia
EOSC.208	Ethiopia
EOSC.210	Ethiopia
EOSC.212	Ethiopia
EOSC.213	Ethiopia
EOSC.215	Ethiopia
EOSC.218	Ethiopia
EOSC.219	Ethiopia
EOSC.220	Ethiopia
EOSC.221	Ethiopia
EOSC.222	Ethiopia
EOSC.223	Ethiopia
EOSC.225	Ethiopia
EOSC.226	Ethiopia
EOSC.227	Ethiopia
EOSC.228	Ethiopia
EOSC.230	Ethiopia
EOSC.231	Ethiopia
EOSC.232	Ethiopia
EOSC.233	Ethiopia
EOSC.234	Ethiopia
EOSC.235	Ethiopia
EOSC.236	Ethiopia
EOSC.237	Ethiopia
EOSC.238	Ethiopia
EOSC.239	Ethiopia
EOSC.241	Ethiopia
EOSC.242	Ethiopia
EOSC.243	Ethiopia
EOSC.244	Ethiopia
EOSC.245	Ethiopia
EOSC.246	Ethiopia
EOSC.247	Ethiopia
EOSC.248	Ethiopia
EOSC.249	Ethiopia
EOSC.250	Ethiopia
EOSC.251	Ethiopia
EOSC.252	Ethiopia
EOSC.254	Ethiopia
EOSC.255	Ethiopia
EOSC.256	Ethiopia
EOSC.258	Ethiopia
EOSC.259	Ethiopia
EOSC.260	Ethiopia
EOSC.261	Ethiopia
EOSC.262	Ethiopia
EOSC.263	Ethiopia
EOSC.264	Ethiopia
EOSC.265	Ethiopia
EOSC.267	Ethiopia
EOSC.268	Ethiopia
EOSC.269	Ethiopia
EOSC.271	Ethiopia
EOSC.272	Ethiopia
EOSC.273	Ethiopia
EOSC.274	Ethiopia
EOSC.276	Ethiopia
EOSC.277	Ethiopia
EOSC.281	Ethiopia
EOSC.283	Ethiopia
EOSC.284	Ethiopia
EOSC.285	Ethiopia
EOSC.286	Ethiopia
